,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
162,puerto del rosario,20,ES,1552663800,77,28.5,-13.86,68,9.17
164,ouro preto do oeste,32,BR,1552666742,74,-10.75,-62.22,87.13,2.17
165,tchollire,64,CM,1552666742,19,8.4,14.17,99.91,3.96
166,araouane,0,ML,1552666406,18,18.9,-3.53,92.62,5.41
167,kimbe,92,PG,1552666743,100,-5.56,150.15,73.9,4.07
168,east london,75,ZA,1552662000,83,-33.02,27.91,77,13.87
169,aklavik,75,CA,1552662000,70,68.22,-135.01,3.2,6.93
170,mahebourg,40,MU,1552666144,78,-20.41,57.7,81,5.82
171,jalu,0,LY,1552666743,35,29.03,21.55,69.49,15.82
172,pevek,20,RU,1552666743,44,69.7,170.27,-27.98,1.72
173,taltal,0,CL,1552666460,72,-25.41,-70.49,68.41,0.94
174,saint-francois,75,FR,1552666546,71,46.42,3.91,55.4,13.87
175,bambous virieux,40,MU,1552666444,78,-20.34,57.76,80.01,5.82
176,murchison,0,AU,1552666575,67,-36.62,145.22,61,6.2
177,geraldton,90,CA,1552664820,78,49.72,-86.95,15.8,17.22
178,katsuura,40,JP,1552665072,87,33.93,134.5,43,3.36
179,salalah,20,OM,1552665000,69,17.01,54.1,77,8.05
180,torbay,40,CA,1552665700,59,47.66,-52.73,37.99,8.05
181,wattegama,68,LK,1552666744,71,7.35,80.68,78.04,4.18
183,carnarvon,68,ZA,1552666431,22,-30.97,22.13,85.51,11.45
184,diu,0,IN,1552666745,34,20.71,70.98,75.79,1.61
186,hauterive,90,FR,1552666617,62,46.09,3.45,55.4,13.87
187,san patricio,64,PY,1552666465,73,-26.98,-56.83,81.37,3.62
188,saskylakh,76,RU,1552666415,73,71.97,114.09,0.1,10.22
189,rehoboth,92,NA,1552666746,18,-23.31,17.08,89.65,6.76
190,kandrian,92,PG,1552666746,100,-6.21,149.55,72.82,3.4
191,jimenez,0,PA,1552666200,43,8.54,-82.37,89.6,18.34
192,molina,0,CL,1552665600,46,-35.11,-71.28,69.8,4.7
193,college,1,US,1552666237,92,64.86,-147.8,30,7.31
194,mehamn,40,NO,1552665000,86,71.03,27.85,33.8,14.99
196,mayya,0,RU,1552665600,75,61.74,130.28,-14.81,4.47
197,mbandaka,44,CD,1552666747,90,0.05,18.26,77.95,2.95
198,dzaoudzi,0,YT,1552665600,74,-12.79,45.27,84.2,4.7
199,grimshaw,20,CA,1552666632,58,56.19,-117.61,30,10.29
